tmy3,city,heat_Need_LOW[kWh],peakLoad_LOW[kW],heat_Need_HIGH[kWh],peakLoad_HIGH[kW],Latitude,Longitude,Elev[m]
724699,Boulder-Broomfield-Jefferson,139.4,8.1,474.2,25.9,40.13,-105.24,1689
723085,Norfolk,64.8,4,334.7,18.5,36.95,-76.283,10
725090,Boston-Logan,151.5,9.4,559.5,32.4,42.367,-71.017,6
722110,Tampa,2.6,0.3,0,0,27.967,-82.533,6
702730,Anchorage,187.8,10.2,644.9,32.9,61.183,-150,35
726185,Augusta,201.1,11.4,716.7,33.1,44.317,-69.8,107
726410,Madison-Dane,199.9,12.2,701.8,33.2,43.13,-89.33,262
722280,Birmingham,61.2,4.3,294,19.7,33.567,-86.75,189
726797,Bozeman-Gallatin,207.1,12.4,679.5,31.9,45.8,-111.15,1349
726620,Rapid,178.7,10.6,621.1,30.6,44.05,-103.05,963
727935,Seattle-Boeing,78.2,4.5,351,16.2,47.68,-122.25,20
722784,Phoenix-Deer,21.2,2,138.8,10.4,33.683,-112.083,450
724930,Oakland,39.9,2.8,208.5,13.2,37.717,-122.217,2